,Unnamed: 0,Unnamed: 0.1,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
10,2,0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.759355494,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,2,none,yes,Y,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,14050.526747956,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,2,none,yes,Y,0.1359269618988037,Y,N,N,2.644741209857819,1.5542494097437913,21,True,1.1773204625427451,0.73276092513041
11,2,0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,0.8,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.90811991,bank,own,1,unskilled - resident,1,none,yes,Y,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,3.4,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,69.85471496000001,bank,own,1,unskilled - resident,1,none,yes,Y,0.1346948146820068,Y,N,N,0.9295484814285715,0.7564661173871138,21,True,1.0269390432748904,0.16197622716945273
12,2,0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,0 <= ... < 200 DM,0.2941176470588235,existing credits paid back duly till now,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,Y,0 <= ... < 200 DM,24.0,existing credits paid back duly till now,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,Y,0.1385478973388672,Y,N,N,2.0,1.4142135623730951,21,True,0.03333333333333333,0.6504299032632652
13,2,0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,< 0 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.76194363,bank,own,1,unskilled - resident,1,none,yes,Y,< 0 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,61.66884328,bank,own,1,unskilled - resident,1,none,yes,Y,0.1375448703765869,Y,N,N,2.5833722014285714,1.529811467272885,21,True,0.7572086666590375,0.751395560442237
14,2,0,N,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,1,unskilled - resident,1,none,yes,N,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,1,unskilled - resident,1,none,yes,0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,radio/television,0.1146142841421811,unknown/ no savings account,... < 1 year ,1.0,male : single,none,0.3333333333333333,if not A121 : building society savings agreement/ life insurance,0.1785714285714285,bank,own,4,unskilled - resident,1,none,yes,Y,0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/ no savings account,... < 1 year ,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,bank,own,4,unskilled - resident,1,none,yes,Y,0.1287577152252197,Y,N,N,2.0,1.4142135623730951,21,True,0.03333333333333333,0.49610192210584714
15,3,0,Y,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.02990238,existing credits paid back duly till now,business,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,N,< 0 DM,6.03336184,existing credits paid back duly till now,business,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,N,0.1328611373901367,Y,Y,Y,2.1759799729411764,1.4251206794080202,21,True,0.2853547530259948,0.5173452406327848
16,3,0,Y,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.46188396,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,35.40810928,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1338303089141845,Y,Y,Y,2.2560016070588236,1.4371975587290358,21,True,0.39995396280765155,0.9903766942618328
17,3,0,Y,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,4 <= ... < 7 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,N,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,N,0.139495849609375,Y,Y,Y,2.0,1.4142135623730951,21,True,0.03333333333333333,0.6973243587178495
18,3,0,Y,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,500 <= ... < 1000 DM ,4 <= ... < 7 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,N,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,500 <= ... < 1000 DM ,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,N,0.1332480907440185,Y,Y,Y,4.0,2.0,21,True,0.06666666666666667,0.9321179345146408
19,3,0,Y,< 0 DM,0.2058823529411764,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,18.0,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.04764844,existing credits paid back duly till now,radio/television,0.0984373280510619,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,1.0,real estate,0.0178571428571428,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,N,< 0 DM,7.24009392,existing credits paid back duly till now,radio/television,2039.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,real estate,20.0,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,N,0.1261796951293945,Y,Y,Y,2.1582339129411765,1.423038288734592,21,True,0.2599405700345807,0.7386200942541629
20,4,0,N,0 <= ... < 200 DM,0.1617647058823529,critical account/ other credits existing (not at this bank),domestic appliances,0.1363486299108617,unknown/ no savings account,4 <= ... < 7 years,1.0,male : single,guarantor,0.3333333333333333,real estate,0.2857142857142857,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0 <= ... < 200 DM,15.0,critical account/ other credits existing (not at this bank),domestic appliances,2728.0,unknown/ no savings account,4 <= ... < 7 years,4.0,male : single,guarantor,2.0,real estate,35.0,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,0 <= ... < 200 DM,0.1617647058823529,critical account/ other credits existing (not at this bank),domestic appliances,0.1363486299108617,unknown/ no savings account,... < 1 year ,1.0,male : single,guarantor,0.3333333333333333,real estate,0.2857142857142857,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0 <= ... < 200 DM,15.0,critical account/ other credits existing (not at this bank),domestic appliances,2728.0,unknown/ no savings account,... < 1 year ,4.0,male : single,guarantor,2.0,real estate,35.0,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,0.137923002243042,Y,N,N,2.0,1.4142135623730951,21,True,0.03333333333333333,0.5885085745699402
