,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_credits_this_bank,scaled_input_people_under_maintenance,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_job,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_credits_this_bank,origin_input_people_under_maintenance,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_job,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_cf_duration_in_month,scaled_cf_credit_amount,scaled_cf_installment_as_income_perc,scaled_cf_present_res_since,scaled_cf_age,scaled_cf_credits_this_bank,scaled_cf_people_under_maintenance,scaled_cf_account_check_status,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_property,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_job,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_duration_in_month,origin_cf_credit_amount,origin_cf_installment_as_income_perc,origin_cf_present_res_since,origin_cf_age,origin_cf_credits_this_bank,origin_cf_people_under_maintenance,origin_cf_account_check_status,origin_cf_credit_history,origin_cf_purpose,origin_cf_savings,origin_cf_present_emp_since,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_property,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_job,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0.0,0.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,1.0,1.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.287497997283936,N,N,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0.0,0.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,1.0,1.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1652045249939,N,N,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0.0,0.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,1.0,1.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.43849062919617,N,N,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0.0,0.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,1.0,1.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.471614360809326,N,N,N
0,0.2941176470588235,0.11461428414218112,1.0,0.3333333333333333,0.17857142857142855,0.0,0.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,23.999999999999996,2333.0,4.0,2.0,28.999999999999996,1.0,1.0,0 <= ... < 200 DM,delay in paying off in the past,radio/television,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,bank,own,unskilled - resident,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33600687980652,N,N,N
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,0.0,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,4.0,250.0,1.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,33.38463878631592,Y,Y,Y
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,0.0,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,4.0,250.0,1.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,33.39247107505798,Y,Y,Y
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,0.0,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,4.0,250.0,1.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,33.31767225265503,Y,Y,Y
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,0.0,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,4.0,250.0,1.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,33.44248294830322,Y,Y,Y
0,0.20588235294117646,0.09843732805106195,0.0,1.0,0.01785714285714285,0.0,0.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,18.0,2039.0,1.0,4.0,20.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,bank,rent,skilled employee / official,none,yes,Y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,4.0,250.0,1.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,Y,33.62328600883484,Y,Y,Y
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0.6666666666666667,0.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.49049639701843,N,N,N
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0.6666666666666667,0.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.14928841590881,N,N,N
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0.6666666666666667,0.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.011807918548584,N,N,N
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0.6666666666666667,0.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.13054609298706,N,N,N
0,0.16176470588235292,0.1363486299108617,1.0,0.3333333333333333,0.28571428571428575,0.6666666666666667,0.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0 <= ... < 200 DM,critical account/ other credits existing (not at this bank),domestic appliances,unknown/ no savings account,4 <= ... < 7 years,male : single,guarantor,real estate,bank,own,skilled employee / official,"yes, registered under the customers name ",yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.025896310806274,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0.0,0.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33782649040222,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0.0,0.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.44633340835571,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0.0,0.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.13770318031311,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0.0,0.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.434502601623535,N,N,N
0,0.16176470588235292,0.06569825024760646,1.0,0.0,0.07142857142857145,0.0,0.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,15.0,1444.0,4.0,1.0,23.0,1.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,unknown/ no savings account,... < 1 year ,male : single,none,if not A121 : building society savings agreement/ life insurance,none,own,skilled employee / official,none,yes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.24093985557556,N,N,N
